scorer,,,rishi,rishi,rishi,rishi,rishi,rishi,rishi,rishi,rishi,rishi
labeled-data,train-edge,20.png,223.5562658421336,751.8595657867306,216.78758915746755,747.6291428588144,230.32494252679953,734.0917894894823,254.86139550871383,695.1718985526527,446.9225964361119,446.42303039117684
labeled-data,train-edge,21.png,261.6300721933799,781.4725262821444,253.16922633754734,784.0107800388942,249.78488799521438,765.3969191560626,238.78578838263206,725.6309436336497,446.07651185052873,458.2682145893424
labeled-data,train-edge,22.png,221.864096670967,759.4743270569799,217.63367374305085,752.7056503723138,228.63277335563305,743.3987199308981,254.01531092313064,720.5544361201503,437.6156659946962,457.42213000375915
labeled-data,train-edge,23.png,222.7101812565503,757.7821578858134,216.78758915746755,753.5517349578971,227.78668877004986,740.8604661741483,252.32314175196416,704.4788289940685,453.69127312077785,448.9612841479266
labeled-data,train-edge,24.png,216.78758915746755,765.3969191560626,213.40325081513458,762.0125808137296,220.17192749980052,745.9369736876478,239.63187296821536,707.0170827508183,436.7695814091128,459.11429917492563
labeled-data,train-edge,25.png,253.16922633754734,768.7812574983956,245.5544650672981,769.6273420839789,243.01621131054833,748.4752274443975,230.32494252679953,705.3249135796517,451.15301936402807,454.88387624700937
labeled-data,train-edge,26.png,237.93970379704888,767.0890883272291,227.78668877004986,767.9351729128124,232.01711169796602,747.6291428588144,232.01711169796602,712.0935902643178,426.6165663821139,465.8829758595916
labeled-data,train-edge,27.png,226.09451959888327,752.7056503723138,228.63277335563305,744.2448045164813,248.0927188240479,760.320411642563,289.55086351762714,780.6264416965611,447.7686810216951,453.1917070758429
labeled-data,train-edge,28.png,208.32674330163502,672.327614741905,210.8649970583848,664.7128534716556,221.01801208538382,679.9423760121542,259.0918184366301,714.6318440210675,451.9991039496115,460.8064683460921
labeled-data,train-edge,29.png,199.8658974458025,732.3996203183158,191.40505158996996,736.630043246232,186.3285440764705,713.7857594354842,171.94510612155523,674.0197839130715,446.9225964361119,465.0368912740084
labeled-data,train-edge,3.png,89.87490131997981,602.1025941384951,81.4140554641474,604.6408478952449,76.33754795064783,583.4887332556635,63.646279166899035,553.0296881746665,438.4617505802794,444.73086122001035
labeled-data,train-edge,30.png,215.94150457188425,764.5508345704793,210.0189124728015,770.4734266695621,194.78938993230304,744.2448045164813,175.3294444638882,709.555336507568,428.30873555328026,477.7281600577572
labeled-data,train-edge,31.png,210.0189124728015,767.9351729128124,205.78848954488524,758.6282424713966,228.63277335563305,754.3978195434803,268.3987488780459,734.0917894894823,436.7695814091128,468.4212296163414
labeled-data,train-edge,32.png,249.78488799521438,88.52925068946155,257.3996492654636,91.91358903179456,245.5544650672981,106.29702698670984,221.01801208538382,151.13951002262218,436.7695814091128,452.34562249025964
labeled-data,train-edge,33.png,319.163824013041,82.6066585903788,321.70207776979066,92.75967361737781,300.54996313020945,95.29792737412757,250.63097258079756,111.37353450020935,442.69217350819554,462.49863751725866
labeled-data,train-edge,34.png,342.854192409372,62.30062853638077,348.77678450845474,69.91538980663003,334.39334655353946,83.45274317596204,294.6273710311267,132.52564913979063,434.23132765236323,453.1917070758429
labeled-data,train-edge,35.png,424.9243972109473,59.76237477963102,429.15482013886367,68.22322063546352,407.15662091369904,76.68406649129604,368.2367299768696,92.75967361737781,451.15301936402807,466.72906044517487
labeled-data,train-edge,36.png,489.2268257152746,68.22322063546352,492.61116405760754,76.68406649129604,473.1512185891927,85.14491234712855,441.00000433702917,111.37353450020935,432.53915848119664,471.8055679586744
labeled-data,train-edge,37.png,449.4608501928617,56.37803643729801,460.459949805444,49.609359752632,464.69037273336016,69.06930522104678,481.6120644450252,100.37443488762707,451.9991039496115,460.8064683460921
labeled-data,train-edge,38.png,574.6813688591828,78.37623566246253,579.7578763726824,83.45274317596204,564.5283538321837,88.52925068946155,542.5301546070193,103.75877322996008,445.2304272649453,464.19080668842514
labeled-data,train-edge,39.png,528.146716652104,60.60845936521426,534.0693087511868,64.83888229313052,522.2241245530213,75.83798190571278,488.38074112969116,118.9882957704586,429.15482013886367,446.42303039117684
labeled-data,train-edge,4.png,533.2232241656036,63.14671312196401,539.9919008502695,70.76147439221327,526.4545474809374,80.91448941921229,493.4572486431907,116.45004201370885,413.0792130127818,440.5004382920941
labeled-data,train-edge,40.png,556.9135925619346,81.76057400479554,564.5283538321837,88.52925068946155,550.9910004628518,99.52835030204382,540.8379854358527,128.2952262118744,443.53825809377895,459.11429917492563
labeled-data,train-edge,41.png,582.2961301294322,76.68406649129604,587.3726376429315,85.14491234712855,565.3744384177671,91.0675044462113,536.6075625079366,115.60395742812558,455.38344229194445,454.88387624700937
labeled-data,train-edge,42.png,351.3150382652045,67.37713604988028,355.5454611931208,61.454543950797515,369.08281456245277,80.06840483362905,399.5418596434498,115.60395742812558,430.00090472444685,456.57604541817585
labeled-data,train-edge,43.png,421.5400588686143,61.454543950797515,428.30873555328026,69.91538980663003,416.46355135511476,78.37623566246253,398.6957750578666,109.68136532904283,447.7686810216951,459.9603837605089
labeled-data,train-edge,44.png,373.31323749036903,65.68496687871377,376.697575832702,74.99189732012954,356.39154577870397,75.83798190571278,315.7794856707079,91.91358903179456,440.153919751446,466.72906044517487
labeled-data,train-edge,45.png,417.3096359406982,67.37713604988028,423.2322280397809,62.30062853638077,441.84608892261235,82.6066585903788,472.3051340036095,118.9882957704586,430.00090472444685,460.8064683460921
labeled-data,train-edge,46.png,452.84518853519467,59.76237477963102,456.22952687752763,63.99279770754727,439.30783516586257,79.22232024804579,405.4644517425327,131.6795645542074,445.2304272649453,458.2682145893424
labeled-data,train-edge,47.png,42.49416452731782,363.50674100401824,50.10892579756705,360.96848724726846,52.647179554316835,388.8892785715158,67.8767020948153,429.50133867951183,441.84608892261235,439.65435370651085
labeled-data,train-edge,48.png,54.33934872548332,381.2745173012665,61.10802541014937,380.42843271568324,62.80019458131585,399.88837818409803,68.7227866803986,439.65435370651085,454.53735770636126,460.8064683460921
labeled-data,train-edge,49.png,217.63367374305085,751.8595657867306,221.01801208538382,743.3987199308981,238.78578838263206,760.320411642563,271.7830872203789,776.3960187686448,462.1521189766104,448.9612841479266
labeled-data,train-edge,5.png,820.0458986783258,376.198009787767,814.123306579243,382.966686472433,801.4320377954941,361.81457183285175,768.4347389577474,324.58685006718866,432.53915848119664,441.34652287767733
labeled-data,train-edge,50.png,213.40325081513458,752.7056503723138,217.63367374305085,746.7830582732311,232.8631962835493,765.3969191560626,259.0918184366301,781.4725262821444,477.38164151710885,445.5769458055936
labeled-data,train-edge,51.png,226.94060418446657,760.320411642563,233.7092808691326,754.3978195434803,246.4005496528813,772.1655958407287,276.85959473387834,794.1637950658932,479.91989527385863,454.88387624700937
labeled-data,train-edge,52.png,203.25023578813557,760.320411642563,208.32674330163502,754.3978195434803,224.40235042771678,771.3195112551454,248.93880340963108,785.7029492100606,470.6129648324429,459.11429917492563
labeled-data,train-edge,53.png,211.711081643968,761.1664962281463,214.24933540071777,756.0899887146468,227.78668877004986,771.3195112551454,268.3987488780459,792.4716258947267,463.844288147777,460.8064683460921
labeled-data,train-edge,54.png,618.6777673095119,811.9315713631414,614.4473443815957,816.1619942910577,610.2169214536793,796.7020488226428,594.1413143275977,766.2430037416458,454.53735770636126,448.9612841479266
labeled-data,train-edge,55.png,625.446443994178,809.3933176063916,617.8316827239287,814.4698251198912,611.9090906248459,795.8559642370597,599.217821841097,760.320411642563,456.22952687752763,450.6534533190931
labeled-data,train-edge,56.png,634.7533744355937,817.8541634622242,628.830782336511,822.9306709757237,624.6003594085946,801.7785563361424,610.2169214536793,766.2430037416458,463.844288147777,463.3447221028419
labeled-data,train-edge,57.png,639.8298819490931,808.5472330208084,631.3690360932608,813.6237405343079,630.5229515076774,798.3942179938094,612.7551752104291,762.0125808137296,469.7668802468597,459.11429917492563
labeled-data,train-edge,58.png,865.7344662998212,295.81997415735816,861.504043371905,300.05039708527437,856.4275358584055,276.3600286889434,836.1215058044074,249.2853219502793,465.53645731894335,438.8082691209276
labeled-data,train-edge,59.png,834.4293366332411,303.4347354276074,830.1989137053247,306.8190737699404,824.2763216062419,284.82087454477585,809.0467990657435,250.97749112144584,435.0774122379464,440.5004382920941
labeled-data,train-edge,6.png,62.80019458131585,297.51214332852464,70.41495585156508,300.89648167085767,58.569771653399584,325.4329346527719,48.41675662640057,358.43023349051873,443.53825809377895,431.1935078506783
labeled-data,train-edge,60.png,831.0449982909079,313.5877504546064,825.9684907774085,318.6642579681059,820.0458986783258,296.6660587429414,806.5085453089937,267.89918283311084,424.9243972109473,460.8064683460921
labeled-data,train-edge,61.png,834.4293366332411,301.7425662564409,831.0449982909079,307.66515835552366,822.5841524350756,279.74436703127634,801.4320377954941,250.13140653586254,434.23132765236323,434.57784619301134
labeled-data,train-edge,62.png,823.4302370206588,312.74166586902317,819.1998140927424,316.1260042113562,811.5850528224933,290.74346664385865,797.201614867578,261.13050614844485,423.2322280397809,455.7299608325926
labeled-data,train-edge,63.png,820.891983263909,601.2565095529119,813.2772219936596,596.1800020394123,830.1989137053247,570.7974644719149,841.198013317907,527.647150607169,426.6165663821139,438.8082691209276
labeled-data,train-edge,64.png,67.03061750923212,527.647150607169,75.49146336506453,526.8010660215857,74.64537877948135,548.7992652467502,83.10622463531388,575.8739719854143,467.22862649010995,434.57784619301134
labeled-data,train-edge,65.png,68.7227866803986,537.800165634168,76.33754795064783,537.800165634168,75.49146336506453,558.106195688166,84.79839380648036,583.4887332556635,473.9973031747759,454.0377916614261
labeled-data,train-edge,66.png,59.41585623898277,508.18720513875417,63.646279166899035,507.341120553171,61.95410999573255,525.1088968504192,69.56887126598178,547.1070960755837,458.7677806342774,415.11790072459655
labeled-data,train-edge,67.png,60.26194082456607,532.7236581206685,67.8767020948153,529.3393197783355,67.8767020948153,552.1836035890833,78.87580170739761,577.5661411565808,461.3060343910272,443.03869204884387
labeled-data,train-edge,68.png,51.80109496873354,525.1088968504192,57.723687067816286,523.4167276792527,56.8776024822331,547.1070960755837,66.18453292364882,574.1818028142478,441.00000433702917,448.9612841479266
labeled-data,train-edge,69.png,60.26194082456607,521.7245585080863,64.49236375248233,521.7245585080863,67.03061750923212,546.2610114900006,74.64537877948135,577.5661411565808,464.69037273336016,446.42303039117684
labeled-data,train-edge,7.png,217.63367374305085,117.2961265992921,223.5562658421336,121.52654952720836,208.32674330163502,140.1404104100399,182.09812114855424,178.2142167612862,444.38434267936213,461.65255293167536
labeled-data,train-edge,70.png,70.41495585156508,518.3402201657532,77.18363253623113,514.1097972378369,77.18363253623113,539.4923348053345,92.4131550767296,569.1052953007483,467.22862649010995,428.6552540939286
labeled-data,train-edge,8.png,580.6039609582656,85.14491234712855,583.9882993005986,80.91448941921229,604.2943293545966,96.99009654529407,640.6759665346765,129.98739538304088,425.7704817965307,443.8847766344271
labeled-data,train-edge,9.png,118.64177722981037,665.558938057239,117.79569264422719,657.0980922014064,134.71738435589214,664.7128534716556,184.63637490530402,663.0206843004892,439.30783516586257,444.73086122001035
labeled-data,training,1.png,36.4716735505839,139.37344008853043,39.56528537060473,131.2175543812028,57.2832439761785,144.99818885220463,106.49979565832786,169.18460853600376,104.24989615285818,102.81257312464803
labeled-data,training,10.png,26.628363214154035,83.12595245178828,34.78424892148164,80.31357806995118,36.4716735505839,103.09381056283173,54.470869594341394,159.62253563775758,104.8123710292256,101.96886081009688
labeled-data,training,11.png,39.846522808788436,69.62655541897017,43.78384694336039,62.59561946437739,58.689431167097055,75.8137790590118,107.62474541106272,106.74989725921998,102.28123408557221,107.03113469740369
labeled-data,training,12.png,26.06588833778661,86.21956427180909,32.25311197782825,79.75110319358375,44.90879669609522,96.34411204642268,91.3129739964075,137.96725289761187,103.68742127649077,105.06247263011771
labeled-data,training,13.png,34.78424892148164,78.90739087903262,30.56568734872598,71.59521748625615,50.25230802158573,64.56428153166337,106.21855822014416,29.972076635066966,102.84370896193963,99.7189613046272
labeled-data,training,14.png,98.62514738918397,174.80935729967797,92.43792374914233,168.90337109782004,107.06227053469527,160.18501051412503,143.06066262221026,118.56186966293582,102.84370896193963,101.68762337191318
labeled-data,training,15.png,122.53032963479936,167.49718390690148,117.7492931856763,173.12193267057572,100.87504689465365,158.77882332320647,53.064682403422836,137.40477802124445,102.5624715237559,102.53133568646432
labeled-data,training,16.png,150.65407345317044,163.84109721051325,143.90437493676137,169.46584597418746,132.09240253304554,148.09180067222545,91.5942114345912,99.7189613046272,102.28123408557221,102.81257312464803
labeled-data,training,17.png,37.87786074150246,135.71735339214217,37.87786074150246,126.99899280844714,52.78344496523913,129.81136719028427,91.5942114345912,126.155280493896,103.12494640012332,100.00019874281092
labeled-data,training,18.png,79.21976415450793,46.28384804972218,80.06347646905905,37.28425002784344,101.71875920920479,44.87766085880363,159.65367147504918,52.47107168976382,102.5624715237559,103.93752287738286
labeled-data,training,19.png,166.12213255327453,147.81056323404175,158.24748428413062,150.06046273951142,156.56005965502837,128.96765487573313,151.77902320590528,68.22036822805161,99.18762226555138,101.96886081009688
labeled-data,training,2.png,38.44033561786988,85.65708939544167,46.59622132519749,81.43852782268601,47.72117107793234,101.96886081009688,66.56407943624095,157.09139869410419,103.96865871467446,103.09381056283173
labeled-data,training,20.png,177.93410495699038,112.65588346107789,182.43390396792975,121.65548148295663,161.34109610415143,125.8740430557123,109.87464491653239,150.62293761587884,102.84370896193963,103.37504800101544
labeled-data,training,21.png,99.18762226555138,168.34089622145262,94.1253483782446,174.52811986149425,81.46966365997761,157.65387357047163,40.69023512333956,119.96805685385438,100.59380945646993,104.21876031556658
labeled-data,training,22.png,76.12615233448712,39.534149533313126,76.12615233448712,30.253314073250674,96.9377227600817,36.44053771329231,150.65407345317044,40.65909928604797,102.84370896193963,107.3123721355874
labeled-data,training,23.png,85.12575035636586,135.9985908303259,84.28203804181472,143.8732390994698,67.12655431260836,136.5610657066933,23.534751394133217,122.49919379750777,98.62514738918397,104.781235191934
labeled-data,training,24.png,179.62152958609263,90.71936328274846,175.402968013337,98.59401155189236,159.93490891323287,82.84471501360457,118.31176806204371,56.97087070070319,100.31257201828623,105.62494750648513
labeled-data,training,25.png,58.40819372891333,96.06287460823897,54.470869594341394,88.18822633909507,75.8449148963034,79.75110319358375,125.06146657845275,52.47107168976382,102.28123408557221,101.96886081009688
labeled-data,training,26.png,66.28284199805724,40.65909928604797,73.59501539083371,36.44053771329231,81.46966365997761,54.7209711952335,113.81196905110434,102.81257312464803,101.99999664738849,103.09381056283173
labeled-data,training,27.png,116.06186855657401,176.21554449059653,112.12454442200209,168.62213365963635,130.12374046575957,162.9973848959621,175.9654428897044,136.5610657066933,102.5624715237559,103.37504800101544
labeled-data,training,28.png,171.1844064405813,71.87645492443986,174.27801826060212,80.31357806995118,155.99758477866095,83.12595245178828,105.65608334377674,106.18742238285255,100.87504689465365,105.06247263011771
labeled-data,training,29.png,175.402968013337,76.09501649719552,169.77821924966275,81.71976526086972,162.4660458568863,67.9391307898679,131.5299276566781,34.75311308419004,101.99999664738849,103.37504800101544
labeled-data,training,3.png,147.2792241949659,43.47147366788507,149.24788626225188,51.06488449884526,129.28002815120843,50.50240962247784,66.28284199805724,65.97046872258193,103.96865871467446,105.34371006830142
labeled-data,training,30.png,183.27761628248086,109.56227164105708,174.84049313696954,112.09340858471047,169.49698181147906,89.59441353001363,145.02932468949624,43.47147366788507,101.71875920920479,102.53133568646432
labeled-data,training,31.png,47.15869620156491,53.59602144249866,53.064682403422836,47.97127267882444,65.72036712168982,66.25170616076564,109.59340747834867,107.5936095737711,105.0936084674093,104.49999775375029
labeled-data,training,32.png,100.31257201828623,174.24688242331055,91.87544887277491,175.09059473786166,94.1253483782446,153.43531199771596,88.78183705275408,98.03153667552495,99.7500971419188,103.37504800101544
labeled-data,training,33.png,42.09642231425812,155.96644894136935,44.90879669609522,148.37303811040917,62.907992739852716,160.46624795230872,117.46805574749257,180.15286862516848,101.99999664738849,103.93752287738286
labeled-data,training,34.png,47.15869620156491,64.84551896984708,42.37765975244183,58.377057891621746,62.345517863485284,51.346121937028975,111.28083210745095,29.690839196883257,100.31257201828623,104.49999775375029
labeled-data,training,35.png,158.80995916049804,46.28384804972218,159.09119659868176,55.00220863341721,137.99838873490344,46.00261061153847,79.78223903087535,27.72217712959728,101.15628433283737,104.21876031556658
labeled-data,training,36.png,172.87183106968357,66.81418103713305,170.34069412603017,74.97006674446067,150.93531089135413,62.033144588009975,92.15668631095862,37.003012589659726,99.18762226555138,105.06247263011771
labeled-data,training,37.png,44.90879669609522,143.31076422310238,39.56528537060473,135.71735339214217,60.0956183580156,128.4051799993657,106.78103309651158,101.12514849554576,,
labeled-data,training,38.png,104.24989615285818,22.659903242290486,109.59340747834867,29.972076635066966,88.78183705275408,36.1593002751086,37.87786074150246,65.68923128439822,106.13956400559006,105.12093673264744
labeled-data,training,39.png,82.03213853634503,24.06609043320904,87.93812473820296,30.253314073250674,68.25150406534321,40.94033672423168,26.06588833778661,82.28224013723714,104.8123710292256,100.84391105736205
labeled-data,training,4.png,155.71634734047723,53.59602144249866,160.49738378960032,60.34571995890771,140.81076311674056,66.53294359894934,88.78183705275408,96.62534948460639,99.46885970373509,103.37504800101544
labeled-data,training,40.png,127.59260352210617,33.34692589327149,136.5922015439849,35.596825398741174,128.4363158366573,53.59602144249866,117.46805574749257,105.90618494466884,100.59380945646993,101.12514849554576
labeled-data,training,41.png,85.40698779454956,176.77801936696395,76.40738977267083,176.21554449059653,83.15708828907988,155.40397406500193,79.50100159269164,100.84391105736205,105.37484590559302,105.62494750648513
labeled-data,training,42.png,61.78304298711787,39.25291209512941,69.09521637989434,43.75271110606879,55.03334447070881,58.658295329805455,26.909600652337744,109.84350907924079,105.93732078196044,103.37504800101544
labeled-data,training,43.png,29.440737595991138,102.81257312464803,21.56608932684724,97.1878243609738,38.721573056053586,80.8760529463186,73.59501539083371,38.12796234239457,102.28123408557221,103.37504800101544
labeled-data,training,44.png,126.46765376937131,38.9716746569457,131.5299276566781,32.503213578720356,147.56046163314963,47.97127267882444,177.09039264243924,76.93872881174664,103.12494640012332,108.71855932650595
labeled-data,training,45.png,73.31377795265,37.56548746602715,75.28244001993598,29.128364320515832,94.96906069279572,38.409199780578284,149.5291237004356,49.93993474611042,103.96865871467446,105.90618494466884
labeled-data,training,46.png,43.221372066992956,157.3726361322879,46.03374644883007,148.9355129867766,63.189230178036425,160.46624795230872,112.12454442200209,178.4654439960662,102.28123408557221,102.53133568646432
labeled-data,training,47.png,179.3402921479089,115.74949528109872,171.1844064405813,119.68681941567067,164.71594536235597,96.62534948460639,141.09200055492428,35.87806283692488,97.78143507463282,100.84391105736205
labeled-data,training,48.png,172.59059363149987,73.2826421153584,168.3720320587442,79.46986575540004,153.18521039682383,64.28304409347966,105.37484590559302,33.34692589327149,99.46885970373509,109.28103420287337
labeled-data,training,49.png,152.62273552045642,103.37504800101544,158.52872172231434,110.4059839556082,137.15467642035233,119.40558197748695,89.90678680548893,145.84190116675578,101.99999664738849,105.34371006830142
labeled-data,training,5.png,151.77902320590528,42.34652391515023,149.24788626225188,51.06488449884526,131.5299276566781,40.096624409680544,69.65769125626177,32.78445101690407,100.59380945646993,106.18742238285255
labeled-data,training,50.png,83.43832572726359,167.7784213450852,76.12615233448712,172.27822035602458,66.84531687442465,153.99778687408337,30.846924786909696,114.06207065199645,103.40618383830704,104.49999775375029
labeled-data,training,51.png,57.70668361586381,158.10733579149328,55.22294615998041,148.58634221060692,75.50680204969483,150.24216718119587,119.80012001294877,138.23743614442608,105.72560776294283,107.19071794588362
labeled-data,training,52.png,42.39030263791619,150.6561234238431,45.701952579094055,142.37699857089842,66.3997647114557,155.20964209296264,112.76286388794578,171.35393555620473,101.5860453364705,107.19071794588362
labeled-data,training,53.png,38.25074021144387,79.86960593116626,41.148433909974486,72.41839356351605,62.67415852763061,85.66499332822752,110.2791264320624,105.12093673264744,102.8279140644122,105.12093673264744
labeled-data,training,54.png,25.00414044673241,91.87433696793602,32.041396571735376,85.2510370855803,46.94382130703575,107.60467418853085,93.30692048352584,148.17238596795968,105.72560776294283,103.05115551941128
labeled-data,training,55.png,115.66055758647643,183.3586665929745,110.2791264320624,175.07954174002984,129.32111359383512,165.55854815914347,166.99113167473334,142.79095481354565,,
labeled-data,training,56.png,49.84151500556638,60.82761876939353,49.84151500556638,51.72058143115441,75.0928458070476,59.99970628409907,128.49320110854066,70.34861235027986,102.41395782176497,105.12093673264744
labeled-data,training,57.png,76.74867077763652,161.8329419753184,69.29745840998633,156.45151082090436,83.37197065999226,140.30721735766227,119.38616377030151,87.73477454146368,102.41395782176497,102.22324303411682
labeled-data,training,58.png,73.85097707910589,177.56327919591322,71.78119586586973,168.04228561502688,96.6185704247037,168.45624185767412,154.98640063796358,158.5212920341405,98.68835163793987,104.7069804900002
labeled-data,training,59.png,176.09816901297245,123.33501140912568,181.06564392473925,130.78622377677587,159.53991930708312,138.23743614442608,106.96747649088452,164.730635673849,,
labeled-data,training,6.png,30.003212472358562,70.18903029533759,39.846522808788436,67.6578933516842,39.846522808788436,87.34451402454394,49.127358268850884,147.24808835767433,102.84370896193963,102.53133568646432
labeled-data,training,60.png,152.08870693943294,170.9399793135575,142.56771335854657,170.52602307091027,150.01892572619678,146.51656099737073,151.26079445413848,94.7720306664666,99.1023078805871,105.12093673264744
labeled-data,training,61.png,184.79125010856436,85.25103708558026,184.37729386591712,93.94411818117214,162.851569248261,86.90686205616919,107.38143273353175,81.93938714440242,101.5860453364705,102.63719927676405
labeled-data,training,62.png,125.18155116736277,27.297163114967645,134.28858850560192,29.78090057085104,121.45594498353769,49.23684397527099,108.62330146147347,94.3580744238194,99.51626412323434,104.29302424735297
labeled-data,training,63.png,35.35304651291324,69.1067436223382,34.11117778497153,59.99970628409907,61.01833355704167,58.75783755615736,124.76759492471554,47.58101900468207,99.93022036588157,102.22324303411682
labeled-data,training,64.png,179.82377519679756,76.14399974734113,186.8610313218005,77.38586847528282,178.1679502262086,99.7395055782334,168.23300040267503,144.44677978413458,104.0697827923539,105.12093673264744
labeled-data,training,65.png,153.33057566737463,167.2143731297324,144.63749457178275,162.66085446061282,157.47013809384697,140.72117360030947,178.58190646885586,87.73477454146365,99.93022036588157,104.7069804900002
labeled-data,training,66.png,94.1348329688203,34.33441923997061,103.24187030705943,29.780900570851053,109.45121394676794,52.548493916448855,131.3908948070713,92.70224945323045,102.41395782176497,106.77676170323639
labeled-data,training,67.png,27.90183414526304,93.53016193852494,28.729746630557504,84.0091683576386,48.599646277624686,92.70224945323048,94.54878921146754,101.39533054882236,107.38143273353175,97.66972436499725
labeled-data,training,68.png,97.03252666735094,176.73536671061876,88.75340181440629,174.25162925473538,97.44648290999817,153.55381712237372,108.62330146147347,101.80928679146959,108.62330146147347,98.08368060764448
labeled-data,training,69.png,70.1253708952808,31.43672554143999,79.23240823351992,28.12507560026212,82.13010193205055,52.9624501590961,92.89296424087861,109.26049915911977,101.17208909382327,101.39533054882236
labeled-data,training,7.png,42.65889719062554,152.87283712134854,44.627559257911514,143.02952678491866,67.6890291889758,155.68521150318566,125.06146657845275,174.24688242331055,100.59380945646993,101.96886081009688
labeled-data,training,70.png,130.14902607912958,172.1818480414992,120.214076255596,171.76789179885196,128.49320110854066,149.41425469590138,132.632763535013,88.14873078411091,103.65582654970667,106.77676170323639
labeled-data,training,71.png,27.90183414526304,127.06061759295082,32.86930905702984,120.02336146794786,47.771733792330224,138.2374361444261,90.82318302764244,170.11206682826304,105.72560776294283,107.19071794588362
labeled-data,training,72.png,155.81431312325805,167.2143731297324,148.36310075560783,163.4887669459073,163.67948173355546,141.96304232825116,176.51212525561968,84.00916835763854,103.24187030705943,108.01863043117808
labeled-data,training,73.png,93.72087672617307,180.46097289444387,85.02779563058118,178.80514792385492,93.72087672617307,157.69337954884605,105.3116515202956,104.7069804900002,105.3116515202956,105.12093673264744
